msoa11cd,msoa11nm
E02002991,Bath and North East Somerset 007
E02002993,Bath and North East Somerset 009
E02002989,Bath and North East Somerset 005
E02003001,Bath and North East Somerset 017
E02002996,Bath and North East Somerset 012
E02002994,Bath and North East Somerset 010
E02002997,Bath and North East Somerset 013
E02003002,Bath and North East Somerset 018
E02002992,Bath and North East Somerset 008
E02002995,Bath and North East Somerset 011
E02002990,Bath and North East Somerset 006
E02002988,Bath and North East Somerset 004
E02003000,Bath and North East Somerset 016
E02003006,Bath and North East Somerset 022
E02002998,Bath and North East Somerset 014
E02002999,Bath and North East Somerset 015
E02003003,Bath and North East Somerset 019
E02003009,Bath and North East Somerset 025
E02003011,Bath and North East Somerset 027
E02003008,Bath and North East Somerset 024
E02003007,Bath and North East Somerset 023
E02003010,Bath and North East Somerset 026
E02003005,Bath and North East Somerset 021
E02003004,Bath and North East Somerset 020
E02002985,Bath and North East Somerset 001
E02002986,Bath and North East Somerset 002
E02002987,Bath and North East Somerset 003
E02006887,Bristol 054
E02003043,Bristol 032
E02006889,Bristol 056
E02003036,Bristol 025
E02003034,Bristol 023
E02003050,Bristol 039
E02003047,Bristol 036
E02003015,Bristol 004
E02003021,Bristol 010
E02003013,Bristol 002
E02003017,Bristol 006
E02003012,Bristol 001
E02003020,Bristol 009
E02003014,Bristol 003
E02003019,Bristol 008
E02003018,Bristol 007
E02003062,Bristol 051
E02003064,Bristol 053
E02003063,Bristol 052
E02003057,Bristol 046
E02003059,Bristol 048
E02003061,Bristol 050
E02003058,Bristol 047
E02003060,Bristol 049
E02003053,Bristol 042
E02003038,Bristol 027
E02003029,Bristol 018
E02003039,Bristol 028
E02003032,Bristol 021
E02003044,Bristol 033
E02003041,Bristol 030
E02003024,Bristol 013
E02003023,Bristol 012
E02003025,Bristol 014
E02003030,Bristol 019
E02003054,Bristol 043
E02003049,Bristol 038
E02003031,Bristol 020
E02003052,Bristol 041
E02003051,Bristol 040
E02003048,Bristol 037
E02003055,Bristol 044
E02003056,Bristol 045
E02003046,Bristol 035
E02006888,Bristol 055
E02006890,Bristol 057
E02003040,Bristol 029
E02003033,Bristol 022
E02003028,Bristol 017
E02003022,Bristol 011
E02003027,Bristol 016
E02003016,Bristol 005
E02003045,Bristol 034
E02003037,Bristol 026
E02003026,Bristol 015
E02006846,North Somerset 027
E02003068,North Somerset 004
E02003077,North Somerset 013
E02003088,North Somerset 024
E02003076,North Somerset 012
E02003078,North Somerset 014
E02003070,North Somerset 006
E02003073,North Somerset 009
E02003072,North Somerset 008
E02003075,North Somerset 011
E02003065,North Somerset 001
E02003067,North Somerset 003
E02003066,North Somerset 002
E02003074,North Somerset 010
E02003071,North Somerset 007
E02003069,North Somerset 005
E02003080,North Somerset 016
E02006845,North Somerset 026
E02003079,North Somerset 015
E02003081,North Somerset 017
E02003085,North Somerset 021
E02003082,North Somerset 018
E02003084,North Somerset 020
E02003086,North Somerset 022
E02003089,North Somerset 025
E02003087,North Somerset 023
E02003113,South Gloucestershire 024
E02003094,South Gloucestershire 005
E02003098,South Gloucestershire 009
E02003101,South Gloucestershire 012
E02003091,South Gloucestershire 002
E02003090,South Gloucestershire 001
E02003093,South Gloucestershire 004
E02003092,South Gloucestershire 003
E02003100,South Gloucestershire 011
E02003104,South Gloucestershire 015
E02003107,South Gloucestershire 018
E02003106,South Gloucestershire 017
E02003117,South Gloucestershire 028
E02003115,South Gloucestershire 026
E02003116,South Gloucestershire 027
E02003114,South Gloucestershire 025
E02003120,South Gloucestershire 031
E02003118,South Gloucestershire 029
E02003119,South Gloucestershire 030
E02003108,South Gloucestershire 019
E02003121,South Gloucestershire 032
E02003105,South Gloucestershire 016
E02003111,South Gloucestershire 022
E02003109,South Gloucestershire 020
E02003112,South Gloucestershire 023
E02003110,South Gloucestershire 021
E02003102,South Gloucestershire 013
E02003095,South Gloucestershire 006
E02003099,South Gloucestershire 010
E02003103,South Gloucestershire 014
E02003096,South Gloucestershire 007
E02003097,South Gloucestershire 008
E02003932,Cornwall 002
E02003933,Cornwall 003
E02003934,Cornwall 004
E02003931,Cornwall 001
E02003903,Cornwall 034
E02003902,Cornwall 029
E02003898,Cornwall 023
E02003899,Cornwall 025
E02003900,Cornwall 026
E02003897,Cornwall 022
E02003892,Cornwall 010
E02003904,Cornwall 037
E02003901,Cornwall 028
E02003896,Cornwall 017
E02003895,Cornwall 016
E02003894,Cornwall 013
E02003893,Cornwall 012
E02003936,Cornwall 006
E02003935,Cornwall 005
E02003957,Cornwall 027
E02003960,Cornwall 035
E02003959,Cornwall 031
E02003961,Cornwall 036
E02003962,Cornwall 038
E02003963,Cornwall 039
E02003964,Cornwall 041
E02003910,Cornwall 044
E02003958,Cornwall 030
E02003937,Cornwall 007
E02003956,Cornwall 024
E02003905,Cornwall 032
E02003953,Cornwall 019
E02003940,Cornwall 011
E02003939,Cornwall 009
E02003938,Cornwall 008
E02003941,Cornwall 014
E02003942,Cornwall 015
E02003908,Cornwall 042
E02003912,Cornwall 048
E02003909,Cornwall 043
E02003914,Cornwall 060
E02003915,Cornwall 062
E02003927,Cornwall 066
E02003926,Cornwall 059
E02003913,Cornwall 056
E02003917,Cornwall 064
E02003916,Cornwall 063
E02003911,Cornwall 047
E02003930,Cornwall 073
E02003928,Cornwall 071
E02003929,Cornwall 072
E02003924,Cornwall 053
E02003923,Cornwall 052
E02003918,Cornwall 045
E02003946,Cornwall 061
E02003925,Cornwall 055
E02003922,Cornwall 051
E02003919,Cornwall 046
E02003920,Cornwall 049
E02003921,Cornwall 050
E02003907,Cornwall 040
E02003947,Cornwall 065
E02003949,Cornwall 068
E02003948,Cornwall 067
E02003951,Cornwall 070
E02003950,Cornwall 069
E02003945,Cornwall 058
E02003943,Cornwall 054
E02003944,Cornwall 057
E02003906,Cornwall 033
E02003954,Cornwall 020
E02003955,Cornwall 021
E02003952,Cornwall 018
E02006781,Isles of Scilly 001
E02003145,Plymouth 024
E02003148,Plymouth 027
E02003150,Plymouth 029
E02003152,Plymouth 031
E02003141,Plymouth 020
E02003149,Plymouth 028
E02003144,Plymouth 023
E02003147,Plymouth 026
E02003135,Plymouth 014
E02003134,Plymouth 013
E02003132,Plymouth 011
E02003138,Plymouth 017
E02003137,Plymouth 016
E02003146,Plymouth 025
E02003133,Plymouth 012
E02003142,Plymouth 021
E02003131,Plymouth 010
E02003130,Plymouth 009
E02003127,Plymouth 006
E02003125,Plymouth 004
E02003129,Plymouth 008
E02003128,Plymouth 007
E02003124,Plymouth 003
E02003123,Plymouth 002
E02003126,Plymouth 005
E02003122,Plymouth 001
E02003140,Plymouth 019
E02003151,Plymouth 030
E02003139,Plymouth 018
E02003143,Plymouth 022
E02003136,Plymouth 015
E02003153,Plymouth 032
E02003161,Torbay 008
E02003163,Torbay 010
E02003156,Torbay 003
E02003159,Torbay 006
E02003155,Torbay 002
E02003157,Torbay 004
E02003158,Torbay 005
E02003154,Torbay 001
E02006840,Torbay 019
E02003164,Torbay 011
E02003167,Torbay 014
E02003165,Torbay 012
E02003166,Torbay 013
E02003168,Torbay 015
E02003169,Torbay 016
E02003171,Torbay 018
E02003170,Torbay 017
E02003192,Bournemouth 021
E02003188,Bournemouth 017
E02003189,Bournemouth 018
E02003202,Poole 009
E02003187,Bournemouth 016
E02003190,Bournemouth 019
E02003211,Poole 018
E02003186,Bournemouth 015
E02003182,Bournemouth 011
E02006883,Bournemouth 023
E02003178,Bournemouth 007
E02003176,Bournemouth 005
E02003174,Bournemouth 003
E02003183,Bournemouth 012
E02003173,Bournemouth 002
E02003180,Bournemouth 009
E02003172,Bournemouth 001
E02003177,Bournemouth 006
E02003195,Poole 002
E02003200,Poole 007
E02003199,Poole 006
E02003194,Poole 001
E02003203,Poole 010
E02003210,Poole 017
E02003201,Poole 008
E02003204,Poole 011
E02003197,Poole 004
E02003198,Poole 005
E02003206,Poole 013
E02003208,Poole 015
E02003209,Poole 016
E02003205,Poole 012
E02003207,Poole 014
E02003196,Poole 003
E02006885,Bournemouth 024
E02003184,Bournemouth 013
E02004236,Christchurch 001
E02004241,Christchurch 006
E02004240,Christchurch 005
E02004237,Christchurch 002
E02004242,Christchurch 007
E02004239,Christchurch 004
E02004238,Christchurch 003
E02003191,Bournemouth 020
E02003185,Bournemouth 014
E02003175,Bournemouth 004
E02003179,Bournemouth 008
E02003181,Bournemouth 010
E02004270,West Dorset 002
E02004271,West Dorset 003
E02004258,North Dorset 004
E02004267,Purbeck 005
E02004264,Purbeck 002
E02004263,Purbeck 001
E02004247,East Dorset 005
E02004265,Purbeck 003
E02004254,East Dorset 012
E02004268,Purbeck 006
E02004266,Purbeck 004
E02004262,North Dorset 008
E02004252,East Dorset 010
E02004249,East Dorset 007
E02004251,East Dorset 009
E02004243,East Dorset 001
E02004244,East Dorset 002
E02004245,East Dorset 003
E02004248,East Dorset 006
E02004253,East Dorset 011
E02004250,East Dorset 008
E02004246,East Dorset 004
E02004277,West Dorset 009
E02004278,West Dorset 010
E02004279,West Dorset 011
E02004272,West Dorset 004
E02004256,North Dorset 002
E02004260,North Dorset 006
E02004259,North Dorset 005
E02004261,North Dorset 007
E02004280,West Dorset 012
E02004275,West Dorset 007
E02004283,Weymouth and Portland 003
E02004281,Weymouth and Portland 001
E02004284,Weymouth and Portland 004
E02004282,Weymouth and Portland 002
E02004285,Weymouth and Portland 005
E02004286,Weymouth and Portland 006
E02004287,Weymouth and Portland 007
E02004288,Weymouth and Portland 008
E02004289,Weymouth and Portland 009
E02004274,West Dorset 006
E02004276,West Dorset 008
E02004273,West Dorset 005
E02004269,West Dorset 001
E02004257,North Dorset 003
E02004255,North Dorset 001
E02003226,Swindon 015
E02003230,Swindon 019
E02003223,Swindon 012
E02003234,Swindon 023
E02003228,Swindon 017
E02003212,Swindon 001
E02003220,Swindon 009
E02003235,Swindon 024
E02003232,Swindon 021
E02003236,Swindon 025
E02003221,Swindon 010
E02003233,Swindon 022
E02003218,Swindon 007
E02003217,Swindon 006
E02003214,Swindon 003
E02006847,Swindon 026
E02003216,Swindon 005
E02003215,Swindon 004
E02006848,Swindon 027
E02006849,Swindon 028
E02003219,Swindon 008
E02003227,Swindon 016
E02003231,Swindon 020
E02003224,Swindon 013
E02003225,Swindon 014
E02003229,Swindon 018
E02003222,Swindon 011
E02004603,Cheltenham 004
E02004608,Cheltenham 009
E02004607,Cheltenham 008
E02004610,Cheltenham 011
E02004606,Cheltenham 007
E02004601,Cheltenham 002
E02004600,Cheltenham 001
E02004602,Cheltenham 003
E02004604,Cheltenham 005
E02004609,Cheltenham 010
E02004612,Cheltenham 013
E02004614,Cheltenham 015
E02004605,Cheltenham 006
E02004611,Cheltenham 012
E02004613,Cheltenham 014
E02004625,Cotswold 011
E02004618,Cotswold 004
E02004624,Cotswold 010
E02004616,Cotswold 002
E02004617,Cotswold 003
E02004619,Cotswold 005
E02004615,Cotswold 001
E02004622,Cotswold 008
E02004621,Cotswold 007
E02004620,Cotswold 006
E02004623,Cotswold 009
E02004630,Forest of Dean 005
E02004629,Forest of Dean 004
E02004634,Forest of Dean 009
E02004633,Forest of Dean 008
E02004635,Forest of Dean 010
E02004631,Forest of Dean 006
E02004632,Forest of Dean 007
E02004628,Forest of Dean 003
E02004626,Forest of Dean 001
E02004627,Forest of Dean 002
E02004642,Gloucester 007
E02004639,Gloucester 004
E02004637,Gloucester 002
E02004649,Gloucester 014
E02004640,Gloucester 005
E02004650,Gloucester 015
E02004636,Gloucester 001
E02004638,Gloucester 003
E02004643,Gloucester 008
E02004644,Gloucester 009
E02004647,Gloucester 012
E02004648,Gloucester 013
E02004641,Gloucester 006
E02004645,Gloucester 010
E02004646,Gloucester 011
E02004657,Stroud 007
E02004655,Stroud 005
E02004659,Stroud 009
E02004654,Stroud 004
E02004656,Stroud 006
E02004653,Stroud 003
E02004651,Stroud 001
E02004660,Stroud 010
E02004664,Stroud 014
E02004661,Stroud 011
E02004665,Stroud 015
E02004662,Stroud 012
E02004652,Stroud 002
E02004658,Stroud 008
E02004663,Stroud 013
E02004669,Tewkesbury 004
E02004671,Tewkesbury 006
E02004667,Tewkesbury 002
E02004674,Tewkesbury 009
E02004673,Tewkesbury 008
E02004672,Tewkesbury 007
E02004666,Tewkesbury 001
E02004668,Tewkesbury 003
E02004670,Tewkesbury 005
